State,Womens Earnings Dollars,Rank
District of Columbia,"$74,000",1
Maryland,"$67,500",2
New Jersey,"$67,000",3
California,"$65,000",4
Connecticut,"$65,000",4
New York,"$65,000",4
Massachusetts,"$64,000",7
Rhode Island,"$62,000",8
Virginia,"$60,000",9
Washington,"$60,000",9
Illinois,"$59,000",11
Delaware,"$58,000",12
Oregon,"$58,000",12
Alaska,"$56,000",14
Michigan,"$56,000",14
Minnesota,"$56,000",14
Pennsylvania,"$55,000",17
United States,"$55,000",
Colorado,"$53,000",18
Nevada,"$53,000",18
Ohio,"$53,000",18
Georgia,"$52,000",21
New Hampshire,"$52,000",21
Texas,"$52,000",21
Wisconsin,"$52,000",21
Wyoming,"$52,000",21
New Mexico,"$51,000",26
Arizona,"$50,000",27
Hawaii,"$50,000",27
Iowa,"$50,000",27
Kentucky,"$50,000",27
Maine,"$50,000",27
North Carolina,"$50,000",27
Indiana,"$49,300",33
Alabama,"$49,000",34
Missouri,"$49,000",34
Nebraska,"$48,500",36
Arkansas,"$48,000",37
Florida,"$48,000",37
Louisiana,"$48,000",37
Utah,"$48,000",37
Vermont,"$48,000",37
Kansas,"$47,000",42
North Dakota,"$47,000",42
Tennessee,"$47,000",42
West Virginia,"$46,000",45
Idaho,"$45,000",46
Montana,"$45,000",46
South Carolina,"$45,000",46
Mississippi,"$43,000",49
Oklahoma,"$42,000",50
South Dakota,"$38,000",51
,,
"Source: IWPR analysis of American Community Survey data (Integrated Public Use Microdata Series, Version 5.0).",,
